date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,3,-6,0.0,8.7,2,71,03:29 PM,04:58 AM,08:31 AM,05:58 PM,-15,-7,-2,-7,23,16,38,0.0,1022,3,10,233,13,21713
2015-01-02,5,-3,0.0,8.7,2,78,04:15 PM,05:57 AM,08:31 AM,05:58 PM,-6,-3,0,-3,16,10,62,0.0,1026,5,10,241,9,21713
2015-01-03,3,-2,0.0,3.5,1,85,05:05 PM,06:51 AM,08:31 AM,05:59 PM,-2,-3,1,-3,18,71,81,5.1,1028,3,8,119,10,21713
2015-01-04,12,3,0.0,6.5,2,92,05:58 PM,07:42 AM,08:31 AM,06:00 PM,6,4,7,4,27,75,93,6.1,1013,12,6,214,14,21713
2015-01-05,-1,-6,0.0,9.7,1,99,06:53 PM,08:27 AM,08:31 AM,06:01 PM,-11,-9,-2,-9,35,32,54,0.0,1026,-1,8,299,24,21713
2015-01-06,-3,-8,5.6,6.5,1,95,07:49 PM,09:08 AM,08:31 AM,06:02 PM,-11,-10,-6,-10,12,74,72,6.6,1024,-3,6,253,7,21713
2015-01-07,-8,-14,0.0,8.2,1,88,08:45 PM,09:44 AM,08:31 AM,06:03 PM,-15,-18,-9,-18,34,50,66,0.3,1023,-8,7,287,22,21713
2015-01-08,-10,-16,0.0,9.7,2,81,09:41 PM,10:17 AM,08:31 AM,06:04 PM,-17,-21,-13,-21,23,28,68,0.0,1031,-10,10,236,15,21713
2015-01-09,-2,-10,0.1,9.7,1,74,10:36 PM,10:48 AM,08:31 AM,06:05 PM,-12,-13,-6,-13,27,55,63,0.2,1021,-2,9,236,17,21713
2015-01-10,-7,-15,0.0,9.8,2,68,11:32 PM,11:17 AM,08:31 AM,06:06 PM,-16,-18,-12,-18,17,6,69,0.0,1035,-7,10,259,10,21713
2015-01-11,-2,-10,0.0,9.8,1,61,No moonrise,11:47 AM,08:30 AM,06:07 PM,-10,-9,-6,-9,14,47,69,0.3,1035,-2,9,166,7,21713
2015-01-12,3,-1,0.2,4.9,1,54,12:27 AM,12:16 PM,08:30 AM,06:08 PM,-0,-3,1,-3,20,87,91,5.1,1026,3,7,183,12,21713
2015-01-13,-4,-8,0.0,9.8,2,47,01:24 AM,12:48 PM,08:30 AM,06:09 PM,-9,-11,-5,-11,24,27,78,0.2,1034,-4,10,116,15,21713
2015-01-14,-1,-6,0.1,6.6,1,41,02:22 AM,01:22 PM,08:30 AM,06:10 PM,-9,-6,-4,-6,6,81,70,0.1,1028,-1,9,150,5,21713
2015-01-15,2,-6,0.0,9.8,2,34,03:21 AM,02:01 PM,08:29 AM,06:11 PM,-7,-4,-2,-4,7,12,69,0.0,1021,2,10,274,4,21713
2015-01-16,4,-3,0.0,6.6,1,27,04:22 AM,02:46 PM,08:29 AM,06:12 PM,-5,-5,-1,-5,18,38,72,0.0,1018,4,10,248,11,21713
2015-01-17,1,-5,0.0,8.3,1,20,05:23 AM,03:38 PM,08:28 AM,06:13 PM,-8,-6,-3,-6,13,35,67,0.0,1026,1,10,133,9,21713
2015-01-18,6,-3,0.0,8.3,1,13,06:21 AM,04:36 PM,08:28 AM,06:14 PM,0,-2,1,-2,10,68,97,2.2,1013,6,3,202,5,21713
2015-01-19,5,-2,0.0,6.6,1,7,07:17 AM,05:41 PM,08:28 AM,06:15 PM,-2,-3,0,-3,13,59,85,0.0,1014,5,8,274,8,21713
