zip_m,yyyy,year,mm,month,prec_mean,crime_count,name2,zipcode,county,ID,n_crime,n,Assault,BreakingnEntering,Robbery,Theft,objid_mes
20603,2015,2015,01,1,3.7258065,3, MD,20675,Charles,8,467,1,181,56,7,174,8-1
20607,2015,2015,01,1,4.0258064,117, MD,20770,Prince Georges,16,118,1,35,87,22,236,16-1
20615,2015,2015,01,1,4.6612902,13, MD,20688,Calvert,4,95,1,13,7,0,49,4-1
20619,2015,2015,01,1,5.2516127,1, MD,20690,Saint Marys,18,31,1,31,14,0,56,18-1
20758,2015,2015,01,1,2.1709678,22, MD,21403,Anne Arundel,2,22,1,22,6,1,42,2-1
20759,2015,2015,01,1,3.8258064,1, MD,21043,Howard,13,1,1,88,30,15,199,13-1
20810,2015,2015,01,1,3.3129032,1, MD,20853,Montgomery,15,1,1,257,81,24,415,15-1
21001,2015,2015,01,1,3.832258,1, MD,21084,Harford,12,30,1,30,9,7,42,12-1
21074,2015,2015,01,1,2.8225806,85, MD,21158,Carroll,6,85,1,8,3,2,35,6-1
21087,2015,2015,01,1,3.8741937,1, MD,21222,Baltimore,3,4,1,249,186,68,632,3-1
21212,2015,2015,01,1,1.8193548,1, MD,21212,Baltimore City,24,1,1,31,28,11,90,24-1
21502,2015,2015,01,1,2.5032258,46, MD,21502,Allegany,1,46,1,52,27,6,78,1-1
21520,2015,2015,01,1,2.7451613,,,,,11,,,,,,,11-1
21607,2015,2015,01,1,6.2258067,4, MD,21638,Queen Annes,17,4,1,4,2,1,7,17-1
21613,2015,2015,01,1,2.851613,17, MD,21643,Dorchester,9,23,1,9,3,0,12,9-1
21629,2015,2015,01,1,5.4225807,2, MD,21655,Caroline,5,11,1,9,1,3,28,5-1
21701,2015,2015,01,1,2.9806452,217, MD,21701,Frederick,10,217,1,65,15,41,172,10-1
21713,2015,2015,01,1,3.1903226,47, MD,21740,Washington,21,47,1,47,21,0,55,21-1
21804,2015,2015,01,1,5.6161289,201, MD,21804,Wicomico,22,201,1,33,15,6,119,22-1
21811,2015,2015,01,1,4.1451612,24, MD,21811,Worcester,23,24,1,4,6,0,13,23-1
21817,2015,2015,01,1,5.3935485,15, MD,21853,Somerset,19,15,1,8,4,0,14,19-1
21901,2015,2015,01,1,3.9451613,1, MD,21901,Cecil,7,1,1,0,0,0,0,7-1
20603,2015,2015,02,2,3.2785714,425, MD,20603,Charles,8,554,1,185,59,3,137,8-2
20607,2015,2015,02,2,3.1571429,4, MD,20742,Prince Georges,16,111,1,38,44,6,203,16-2
20615,2015,2015,02,2,3.125,7, MD,20639,Calvert,4,127,1,7,12,1,39,4-2
20619,2015,2015,02,2,3.925,6, MD,20650,Saint Marys,18,30,1,30,11,1,51,18-2
20758,2015,2015,02,2,1.4714286,22, MD,21403,Anne Arundel,2,22,1,22,4,5,37,2-2
20759,2015,2015,02,2,2.8464286,3, MD,20763,Howard,13,93,1,93,24,5,172,13-2
20810,2015,2015,02,2,2.7892857,1, MD,20904,Montgomery,15,2,1,243,64,24,345,15-2
21001,2015,2015,02,2,2.3535714,1, MD,21047,Harford,12,37,1,37,8,1,47,12-2
21074,2015,2015,02,2,2.05,85, MD,21158,Carroll,6,85,1,14,4,1,34,6-2
21087,2015,2015,02,2,2.5821428,2, MD,21286,Baltimore,3,2,1,264,134,33,569,3-2
21212,2015,2015,02,2,1.1535714,3, MD,21212,Baltimore City,24,3,1,35,20,10,72,24-2
21502,2015,2015,02,2,1.625,34, MD,21502,Allegany,1,34,1,58,20,3,58,1-2
21520,2015,2015,02,2,2.8071427,,,,,11,,,,,,,11-2
21607,2015,2015,02,2,3.6428571,1, MD,21638,Queen Annes,17,5,1,5,2,0,3,17-2
21613,2015,2015,02,2,2.0392857,12, MD,21643,Dorchester,9,13,1,4,3,0,13,9-2
21629,2015,2015,02,2,2.9000001,2, MD,21660,Caroline,5,8,1,14,0,1,19,5-2
21701,2015,2015,02,2,2.1892858,244, MD,21701,Frederick,10,244,1,46,8,21,135,10-2
21713,2015,2015,02,2,2,51, MD,21740,Washington,21,51,1,51,20,5,33,21-2
21804,2015,2015,02,2,3.3928571,188, MD,21804,Wicomico,22,188,1,31,12,5,84,22-2
21811,2015,2015,02,2,2.3107142,29, MD,21811,Worcester,23,29,1,6,0,0,15,23-2
21817,2015,2015,02,2,3.6392858,20, MD,21853,Somerset,19,20,1,13,1,0,5,19-2
20603,2015,2015,03,3,5.3806453,6, MD,20637,Charles,8,428,1,237,39,10,135,8-3
20607,2015,2015,03,3,4.8387098,111, MD,20770,Prince Georges,16,111,1,48,56,12,271,16-3
20615,2015,2015,03,3,4.803226,13, MD,20732,Calvert,4,83,1,22,4,1,60,4-3
20619,2015,2015,03,3,4.6999998,1, MD,20653,Saint Marys,18,1,1,47,13,2,54,18-3
20758,2015,2015,03,3,2.0419354,20, MD,21403,Anne Arundel,2,20,1,20,9,0,46,2-3
20759,2015,2015,03,3,4.0741935,26, MD,21043,Howard,13,106,1,106,38,9,266,13-3
20810,2015,2015,03,3,3.8451612,1, MD,20904,Montgomery,15,2,1,291,83,26,396,15-3
21001,2015,2015,03,3,3.6967742,1, MD,21001,Harford,12,30,1,30,16,5,43,12-3
21074,2015,2015,03,3,3.9645162,69, MD,21158,Carroll,6,69,1,15,1,1,35,6-3
21087,2015,2015,03,3,4.0064516,2, MD,21286,Baltimore,3,2,1,277,171,49,752,3-3
21212,2015,2015,03,3,1.9580646,3, MD,21212,Baltimore City,24,3,1,61,16,10,138,24-3
21502,2015,2015,03,3,2.880645,40, MD,21502,Allegany,1,40,1,65,18,1,85,1-3
21520,2015,2015,03,3,5.648387,,,,,11,,,,,,,11-3
21607,2015,2015,03,3,4.7838707,1, MD,21638,Queen Annes,17,4,1,4,7,0,14,17-3
21613,2015,2015,03,3,2.2612903,17, MD,21643,Dorchester,9,22,1,8,3,0,9,9-3
21629,2015,2015,03,3,3.6677418,1, MD,21660,Caroline,5,7,1,11,0,0,13,5-3
21701,2015,2015,03,3,3.9774194,194, MD,21701,Frederick,10,194,1,68,22,24,182,10-3
21713,2015,2015,03,3,4.532258,57, MD,21740,Washington,21,57,1,57,20,6,37,21-3
21804,2015,2015,03,3,3.2258065,162, MD,21804,Wicomico,22,162,1,46,31,9,125,22-3
21811,2015,2015,03,3,2.3129032,18, MD,21811,Worcester,23,18,1,6,2,0,20,23-3
21817,2015,2015,03,3,3.0258064,17, MD,21853,Somerset,19,17,1,10,1,0,2,19-3
20603,2015,2015,04,4,3.7933333,7, MD,20637,Charles,8,488,1,201,53,3,185,8-4
20607,2015,2015,04,4,4.7200003,98, MD,20770,Prince Georges,16,99,1,51,56,10,309,16-4
20615,2015,2015,04,4,3.7266667,13, MD,20732,Calvert,4,89,1,24,13,0,49,4-4
20619,2015,2015,04,4,3.6900001,2, MD,20659,Saint Marys,18,48,1,48,21,1,39,18-4
20758,2015,2015,04,4,2.5233333,22, MD,21403,Anne Arundel,2,23,1,23,8,1,43,2-4
20759,2015,2015,04,4,5.1500001,2, MD,21045,Howard,13,2,1,96,33,9,278,13-4
20810,2015,2015,04,4,5.0566669,1, MD,20810,Montgomery,15,1,1,276,75,27,450,15-4
21001,2015,2015,04,4,2.9266667,1, MD,21040,Harford,12,1,1,52,22,1,78,12-4
21074,2015,2015,04,4,3.0733333,52, MD,21158,Carroll,6,52,1,15,11,0,50,6-4
21087,2015,2015,04,4,3.1833334,1, MD,21286,Baltimore,3,1,1,326,194,40,761,3-4
21212,2015,2015,04,4,1.8166667,2, MD,21212,Baltimore City,24,2,1,41,28,6,139,24-4
21502,2015,2015,04,4,4.1199999,63, MD,21502,Allegany,1,63,1,110,32,4,118,1-4
21520,2015,2015,04,4,5.9200001,,,,,11,,,,,,,11-4
21601,2015,2015,04,4,1.9933333,1, MD,21601,Talbot,20,1,1,0,0,0,0,20-4
21607,2015,2015,04,4,3.3366666,2, MD,21617,Queen Annes,17,4,1,4,4,0,12,17-4
21613,2015,2015,04,4,1.48,17, MD,21643,Dorchester,9,17,1,8,2,0,18,9-4
21629,2015,2015,04,4,2.8899999,1, MD,21629,Caroline,5,8,1,15,2,0,29,5-4
21701,2015,2015,04,4,4.2233334,221, MD,21701,Frederick,10,221,1,77,24,27,179,10-4
21713,2015,2015,04,4,4.7566667,45, MD,21740,Washington,21,45,1,45,25,1,72,21-4
21804,2015,2015,04,4,2.3666666,175, MD,21804,Wicomico,22,175,1,48,33,7,145,22-4
21811,2015,2015,04,4,1.7733333,18, MD,21811,Worcester,23,18,1,10,2,1,17,23-4
21817,2015,2015,04,4,3.3533332,16, MD,21853,Somerset,19,16,1,12,7,0,13,19-4
21901,2015,2015,04,4,2.6733334,1, MD,21903,Cecil,7,1,1,0,0,0,0,7-4
20603,2015,2015,05,5,2.4419355,53, MD,20646,Charles,8,560,1,259,58,6,178,8-5
20607,2015,2015,05,5,2.1161292,118, MD,20770,Prince Georges,16,121,1,60,68,14,285,16-5
20615,2015,2015,05,5,3.2967741,10, MD,20714,Calvert,4,105,1,22,7,1,92,4-5
20619,2015,2015,05,5,4.0387096,2, MD,20659,Saint Marys,18,43,1,43,15,2,50,18-5
20758,2015,2015,05,5,1.8193549,41, MD,21403,Anne Arundel,2,41,1,41,38,16,79,2-5
20759,2015,2015,05,5,2.7161291,1, MD,21043,Howard,13,4,1,107,32,11,254,13-5
20810,2015,2015,05,5,2.7935483,2, MD,20886,Montgomery,15,3,1,335,86,25,499,15-5
21001,2015,2015,05,5,2.5967741,1, MD,21040,Harford,12,1,1,71,18,6,46,12-5
21074,2015,2015,05,5,3.6129031,78, MD,21158,Carroll,6,78,1,22,9,4,61,6-5
21087,2015,2015,05,5,2.651613,2, MD,21136,Baltimore,3,9,1,320,239,46,760,3-5
21212,2015,2015,05,5,1.416129,1, MD,21212,Baltimore City,24,1,1,49,25,8,157,24-5
21502,2015,2015,05,5,3.6225805,70, MD,21502,Allegany,1,70,1,92,38,6,105,1-5
