Pais;Provincia;Departamento;Cabecera
Argentina;Corrientes;Capital;Corrientes
Argentina;Corrientes;Bella Vista;Bella Vista
Argentina;Corrientes;Berón de Astrada;Berón de Astrada
Argentina;Corrientes;Concepción;Concepción Yaguareté-Corá
Argentina;Corrientes;Curuzú Cuatiá;Curuzú Cuatiá
Argentina;Corrientes;Empedrado;Empedrado
Argentina;Corrientes;Esquina;Esquina
Argentina;Corrientes;General Alvear;Alvear
Argentina;Corrientes;General Paz;Nuestra Señora del Rosario de Caá Catí
Argentina;Corrientes;Goya;Goya
Argentina;Corrientes;Itatí;Itatí
Argentina;Corrientes;Ituzaingó;Ituzaingó
Argentina;Corrientes;Lavalle;Lavalle
Argentina;Corrientes;Mburucuyá;Mburucuyá
Argentina;Corrientes;Mercedes;Mercedes
Argentina;Corrientes;Monte Caseros;Monte Caseros
Argentina;Corrientes;Paso de los Libres;Paso de los Libres
Argentina;Corrientes;Saladas;Saladas
Argentina;Corrientes;San Cosme;San Cosme
Argentina;Corrientes;San Luis del Palmar;San Luis del Palmar
Argentina;Corrientes;San Martín;La Cruz
Argentina;Corrientes;San Miguel;San Miguel
Argentina;Corrientes;San Roque;San Roque
Argentina;Corrientes;Santo Tomé;Santo Tomé
Argentina;Corrientes;Sauce;Sauce
