origin_id,destinatio,entry_cost,network_co,exit_cost,total_cost
Capital,Capital,,0.0000000,,
Capital,Bella Vista,3607.4880025,184321.0710254,8490.0211710,196418.5801989
Capital,Departartamento Beron de Astrada,3607.4880025,186866.1497093,9442.8438650,199916.4815768
Capital,Concepcion,3607.4880025,144142.1950661,9553.1054012,157302.7884697
Capital,Curuzu Cuatia,3607.4880025,421705.3268403,13134.4821343,438447.2969770
Capital,Empedrado,3607.4880025,64694.3317784,5189.5280649,73491.3478457
Capital,Esquina,3607.4880025,485999.7371250,4122.7988759,493730.0240034
Capital,Departamento General Alvear,3607.4880025,485999.7371250,4122.7988759,493730.0240034
Capital,Departamento General Paz,3607.4880025,153498.5685881,6265.1766681,163371.2332586
Capital,Goya,3607.4880025,256420.8661194,1494.5167008,261522.8708226
Capital,Itati,3607.4880025,82785.8176768,4826.3952866,91219.7009659
Capital,Ituzaingo,3607.4880025,82785.8176768,4826.3952866,91219.7009659
Capital,Lavalle,3607.4880025,239251.0356640,9643.6855100,252502.2091764
Capital,Mburucuya,3607.4880025,113122.8454752,16494.6364186,133224.9698963
Capital,Mercedes,3607.4880025,354499.8489638,4359.9544151,362467.2913814
Capital,Monte Caseros,3607.4880025,465115.2278556,9357.5312068,478080.2470649
Capital,Paso de los Libres,3607.4880025,465115.2278556,9357.5312068,478080.2470649
Capital,Saladas,3607.4880025,128650.6426199,2152.9294029,134411.0600253
Capital,San Cosme,3607.4880025,52627.3544006,5927.5364229,62162.3788259
Capital,San Luis del Palmar,3607.4880025,47361.1648327,10274.9393743,61243.5922095
Capital,Departamento San Martin,3607.4880025,47361.1648327,10274.9393743,61243.5922095
Capital,Departamento San Miguel,3607.4880025,166796.6702386,11536.2405531,181940.3987941
Capital,San Roque,3607.4880025,196900.9371404,1050.3210138,201558.7461566
Capital,Santo Tome,3607.4880025,196900.9371404,1050.3210138,201558.7461566
Capital,Sauce,3607.4880025,391910.1618937,3541.5156726,399059.1655688
Bella Vista,Capital,8490.0211710,184321.0710254,3607.4880025,196418.5801989
Bella Vista,Bella Vista,8490.0211710,0.0000000,3607.4880025,196418.5801989
Bella Vista,Departartamento Beron de Astrada,8490.0211710,213177.8462079,9442.8438650,231110.7112439
Bella Vista,Concepcion,8490.0211710,151971.4917278,9553.1054012,170014.6183000
Bella Vista,Curuzu Cuatia,8490.0211710,270910.2129720,13134.4821343,292534.7162772
Bella Vista,Empedrado,8490.0211710,150628.5232025,5189.5280649,164308.0724383
Bella Vista,Esquina,8490.0211710,335204.6232567,4122.7988759,347817.4433036
Bella Vista,Departamento General Alvear,8490.0211710,335204.6232567,4122.7988759,347817.4433036
Bella Vista,Departamento General Paz,8490.0211710,179810.2650866,6265.1766681,194565.4629257
Bella Vista,Goya,8490.0211710,72099.7950940,1494.5167008,82084.3329658
Bella Vista,Itati,8490.0211710,228658.1594741,4826.3952866,241974.5759317
Bella Vista,Ituzaingo,8490.0211710,228658.1594741,4826.3952866,241974.5759317
Bella Vista,Lavalle,8490.0211710,54929.9646386,9643.6855100,73063.6713196
