NAME,TRIBE_CODE,LAT,LON,land_area,atlantic_,atlantic1,atlantic2,atlantic3,indiannum,indianall,indian_n1,indian_n2,indian_n3,atlantica,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
ABABDA,"1",23.16180000000,33.70160000000,"155478.9097123778","0","0","0","0","0","0","0","0","0","0",,,,,,
ABARAMBO,"2",3.70295492914,26.79730000000,"6780.70615803379","0","0","0","0","0","0","0","0","0","0",,,,,,
ABE,"3",6.06953083698,-4.26032000000,"4031.345281013225","0","0","0","0","0","0","0","0","0","0",,,,,,
ACHOLI,"4",3.10812146411,32.65680000000,"27266.39825020345","0","0","0","0","0","0","0","0","0","0",,,,,,
ADAMAWA,"5",7.55609065696,13.18470000000,"52749.42431977099","0","0","0","0","0","0","0","0","0","0",,,,,,
ADANGME,"6",6.07685084862,0.27045692167,"4677.364387035948","0","0","0","10354","0","0","0","0","0","10354",,,,,,
ADARAWA,"7",14.40160000000,5.30310348992,"24362.0099920044","0","0","0","0","0","0","0","0","0","0",,,,,,
ADELE,"8",8.24428409608,0.67365115230,"1425.687019640919","0","0","0","29","0","0","0","0","0","29",,,,,,
AFAR,"9",12.33480000000,41.39230000000,"120873.4757238236","0","0","0","0","0","0","0","0","0","0",,,,,,
AFO,"10",8.24274895601,8.05948549900,"1831.095261324365","0","0","0","0","0","0","0","0","0","0",,,,,,
AFUSARE,"11",9.95871877584,9.18228825545,"945.914125689844","0","0","0","0","0","0","0","0","0","0",,,,,,
AHAGGAREN,"12",23.80350000000,4.22900623631,"497216.3768222321","0","0","0","0","0","0","0","0","0","0",,,,,,
AJUKRU,"13",5.50535267053,-4.65418000000,"1893.909337754993","0","0","0","0","0","0","0","0","0","0",,,,,,
AKPOSO,"14",7.62490871179,1.14474815394,"2588.683074827215","0","0","0","0","0","0","0","0","0","0",,,,,,
AKYEM,"15",6.43891660729,-0.37515200000,"13420.20307992716","0","0","16780","2334","0","0","0","0","0","19114",,,,,,
ALAGYA,"16",-3.15836000000,36.83440000000,"1595.628638036363","0","0","0","0","0","0","0","0","0","0",,,,,,
ALGERIANS,"17",35.84440000000,2.38898913397,"84862.47997316415","0","0","0","0","0","0","0","0","0","0",,,,,,
ALUR,"18",2.51517290258,31.22260000000,"6866.616739127536","0","0","0","0","0","0","0","0","0","0",UGA,2.329114,2.0886075,1.9746835,1.6410257,2.1898735
AMARAR,"19",20.05440000000,36.13220000000,"37745.41786762131","0","0","0","0","0","0","0","0","0","0",,,,,,
AMBA,"20",0.73324732714,29.68650000000,"7046.492892296346","0","590","0","1293","0","0","0","0","0","1883",,,,,,
AMBO,"21",-17.58620000000,16.03950000000,"95740.46389111386","226","0","0","162","0","0","0","0","0","388",NAM,2.4222221,1.6908463,1.46875,1.2942207,1.7795699
AMER,"22",17.37740000000,37.83450000000,"33925.4425652233","0","0","0","0","0","0","0","0","0","0",,,,,,
AMHARA,"23",12.03540000000,37.69860000000,"127273.4992663757","0","0","0","0","0","0","0","0","0","0",,,,,,
ANA,"24",7.67604591775,1.55839532130,"4512.359271094006","0","0","0","871","0","0","0","0","0","871",BEN,3,3,3,3,3
