murdock_name,isocode,prom_trust_relative,prom_trust_neigh,prom_trust_intra,prom_trust_inter,prom_trust_gov
ALUR,UGA,2.329114,2.0886075,1.9746835,1.6410257,2.1898735
AMBO,NAM,2.4222221,1.6908463,1.46875,1.2942207,1.7795699
ANA,BEN,3,3,3,3,3
ANGAS,NGA,2.8,2.5999999,2.4000001,1.8,1
ANTAISAKA,MDG,2.0535715,1.6339285,1.5,1.2702702,1.3009709
ANTANDROY,MDG,1.9375,1.46875,1.53125,1.2440945,1.5873016
ASHANTI,GHA,2.1009614,1.6623794,1.6432,1.3768116,1.6439267
AULLIMINDEN,MLI,2.6363637,2.2045455,1.8409091,1.6136364,1.5681819
AUSHI,ZMB,2.5,2.5,2,1,1.5
BAJUN,KEN,2.3076923,1.6153846,1.5384616,1.1538461,1.1538461
BAMBARA,MLI,2.6281691,2.1553671,2.1723163,1.6455331,2.1946902
BANYUN,SEN,2.6666667,2,2.6666667,2.6666667,2
BARA,MDG,1.8095238,1.4761904,1.5238096,1.3809524,1.65
BARARETTA,KEN,2.4181819,2.2363636,2,.96363634,1.2115384
BARGU,BEN,2.7415731,2.4325843,1.9213483,1.5028249,2.4161491
BAUCHI,NGA,2.3620689,2.0862069,2.0862069,1.7758621,1.3928572
BEMBA,ZMB,1.9972752,1.4234973,1.4414169,1.2328767,1.1735294
BERGDAMA,NAM,2.2230768,1.4573643,1.234375,1.0625,1.4
BETSILEO,MDG,1.9752475,1.3762376,1.3718593,1.0612245,1.6455027
BETSIMISARAKA,MDG,1.8543047,1.4933333,1.5099338,1.1666666,1.4428571
BISA,ZMB,2.75,2,2,1.5,.25
BOBO,MLI,2.5476191,2.0714285,2.1904762,1.5,2.4047618
BORAN,KEN,2.5,2.375,2.125,1.5,1.5714285
BOZO,MLI,2.7222223,2.3333333,2.3888888,1.8333334,1.6111112
BUYE,TZA,2,2,2,2,2
CHAGA,TZA,2.375,1.8070176,1.75,1.6964285,2.1428571
CHEWA,MWI,2.5072465,2.1597097,2.169708,1.6231618,1.8643411
CHIGA,UGA,2.2587411,1.8811189,1.7062937,1.2657343,2.1985815
CHOKWE,ZMB,3,0,2,0,2
CHOPI,MOZ,2.3,1.5,1.6865672,1.5072464,2.1904762
CHUABO,MOZ,2.5504587,2.0550458,2.0183487,1.7222222,2.2087913
Cannot match to Murdock name,GHA,2.6083333,2.1779661,1.8803419,1.4568965,1.8672566
DAFI,MLI,2.6785715,2.2222223,2.1481481,1.8846154,2.5185184
DAGARI,GHA,2.4255319,1.8675214,1.7863247,1.4913044,1.838565
DAGOMBA,GHA,2.3181818,1.7142857,1.5909091,1.3636364,1.7727273
DENDI,BEN,2.2820513,1.9743589,1.6666666,1.5263158,2.1944444
DIGO,KEN,2.25,2,1.8333334,1.25,.91666669
DIOLA,SEN,2.8363636,2.6909091,2.4339623,2.2830188,2.3461537
DOGON,MLI,2.9264705,2.6865671,2.6470587,2.0769231,2.40625
DURUMA,KEN,2.2222223,1.7777778,1.5555556,1,1
EDO,NGA,1.5573771,1.2459016,1.1803279,.91803277,.52631581
EGBA,NGA,0,0,0,0,0
EKOI,NGA,1.6,1.4,1.4,1,.40000001
EWE,GHA,2.0679011,1.6375,1.6604939,1.2922078,1.4645162
FAJULU,UGA,2,1.5,1.6666666,1.2727273,1.8181819
FIPA,TZA,2.3589745,2.3333333,2.3076923,1.8717948,2.4594595
FON,BEN,1.5531296,1.1455604,1.1557497,.96929824,1.4153847
FOUTATORO,SEN,2.8451178,2.6033897,2.3959045,2.0804195,1.9435484
GA,GHA,1.826087,1.2647059,1.25,1.0588236,1.4461539
GANDA,UGA,1.9954853,1.544018,1.3922902,1.1108598,2.1252847
GBARI,NGA,2,1.7058823,1.5294118,1.5294118,1.0588236
GISU,UGA,2.0434783,1.6847826,1.7802198,1.2307693,2.3707864
GOGO,TZA,2.59375,2.4375,2.25,1.71875,2.375
GUSII,KEN,1.8558558,1.4684684,1.4324324,1.119266,1.3831775
GYRIAMA,KEN,2.3913043,2.0434783,1.6956521,1.2173913,.89999998
HAUSA,NGA,2.225564,1.956848,1.7969925,1.3752381,1.1179883
HAWIYA,KEN,2.5,3,2.6666667,1,1
HAYA,TZA,2.4666667,2.1333334,2.0444446,1.5777777,2.8
HEHE,TZA,2.1142857,1.8285714,1.8571428,1.4857143,2.3142858
HERERO,NAM,2,1.4946237,1.3152174,1.25,1.5444444
HURUTSHE,BWA,1.5897436,1.051282,1.1842105,1.2631578,2.0285714
IBIBIO,NGA,1.4148936,1.0860215,.90425533,.79787236,.93103451
IBO,NGA,1.52,.97647059,.78588235,.64691943,.60386473
IDOMA,NGA,1.8461539,1.1538461,.65384614,.34615386,.66666669
IGALA,NGA,1.8157895,1.1794872,1.1025641,.78947371,.76923078
IGBIRA,NGA,1.8214285,1.1428572,.85714287,.53571427,.92307693
IJAW,NGA,2.0729167,1.6335078,1.2931937,1.053476,.66666669
ILA,ZMB,2.2,1.4666667,1.4666667,.93333334,1
IRAMBA,TZA,2,1.8,2,1.8,2.2
ISOKO,NGA,1.0256411,.84615386,.87179488,.69230771,.66666669
ITSEKIRI,NGA,1.6666666,1.3333334,1.4444444,.77777779,.8888889
IWA,ZMB,2.0714285,1.5714285,1.6071428,1.3333334,.92000002
KABRE,BEN,3,3,3,3,3
KAGORO,MLI,2.4736843,2.2631578,2.1578948,1.7894737,2.3684211
KAMBA,KEN,2.25,1.75,1.6268656,1.1796875,1.3781513
KANURI,NGA,2.3921568,2.1568627,2.0784314,1.5294118,1.4313725
KAONDE,ZMB,2.0408163,1.5306122,1.7142857,1.4693878,.86956519
KARAMOJONG,UGA,1,1,2,2,1
KARANGA,ZWE,1.7165775,1.3475935,1.2956989,1.1546961,1.8095238
KASONKE,MLI,2.4782608,1.9130435,1.9565217,1.6086956,2.3181818
KEYU,KEN,2.3333333,1.6666666,1,1.3333334,1.6666666
KGALAGADI,BWA,1.6588235,1.2470589,1.3333334,1.0722891,1.721519
KGATLA,BWA,1.8636364,1.4363636,1.4181818,1.2616823,1.8019803
KIKUYU,KEN,2.2532189,1.7939914,1.5536481,1.0614035,1.3738738
KIPSIGI,KEN,1.9846153,1.6201551,1.6171875,1.21875,1.266129
KOBA,BWA,2.4583333,2.125,1.875,1.7083334,1.826087
KONJO,UGA,2.1818182,2.1515152,2.3030303,1.9090909,2.2121212
KONSO,KEN,3,2,2,0,0
KUNDA,ZMB,1,1,1,1,
KWANGARE,NAM,2.5164835,1.9890109,1.9444444,1.8666667,1.9878049
KWENA,LSO,1.5177112,1.1548913,1.2697548,1.0983607,1.7206349
KWERE,TZA,2,1,3,2,0
LAKA (NDEBELE),ZAF,2.1627908,1.6511627,1.6829268,1.1282052,1.5365853
LALA,ZMB,2.3,1.6,1.6,1,1.375
LAMBA,ZMB,1.6666666,1.3333334,1.3333334,1,1.3333334
LAMBYA,MWI,2.875,2.4375,2.25,1.5625,2.0714285
LENJE,ZMB,1.92,1.12,1.5599999,1.16,1.4090909
LOMWE,MWI,2.1657143,2.0171428,1.9655173,1.7183908,1.6392405
LOZI,ZMB,2.3878789,1.660606,1.6242424,1.2969697,1.3375796
LUCHAZI,ZMB,2.6666667,2.3333333,2.3333333,1.3333334,.66666669
LUGBARA,UGA,2.3305085,2.1025641,2.0756302,1.6410257,1.9579831
LUGURU,TZA,2.5833333,2.1944444,1.9722222,1.8611112,2.0277777
LUNDA,ZMB,2.173913,1.6521739,1.9130435,1.4347826,1.15
LUNGU,ZMB,2.6190476,1.9047619,1.9047619,1.7142857,1.2105263
LUO,UGA,2.0910852,1.8042636,1.8504854,1.4223969,1.7435387
LUVALE,ZMB,2.1923077,1.8076923,1.7884616,1.5961539,1.4038461
MADI,UGA,2.3829787,2.1702127,2.1063831,1.6521739,2.1276596
MAHAFALY,MDG,2.675,2.0999999,2.0999999,1.65,2
MAKONDE,TZA,2.6105263,1.9361702,1.9782609,1.7802198,2.284091
MAKUA,MOZ,2.7100456,2.121839,2.025701,1.647619,2.4297082
MALINKE,MLI,2.4958677,2.1900826,2.1157024,1.7583333,2.0431035
MASAI,TZA,2.125,1.75,1.6666666,1.2916666,1.5217391
MASHI,ZMB,3,3,2,1,3
